era,phragmen(5),phragmms(5)
1148,5694868271154691,6093675797902899
1147,5692819630757339,6093675797902899
1146,5692819622437348,6093675797902899
1145,5692819617398607,5692514239719234
1144,5692819630088383,6022088096835513
1143,5639019622864506,6022088096835513
1142,5639019623020594,5638653340962844
1141,5639019622069277,5638653340962844
1140,5619086918836355,5619789143205921
1139,5620019630963917,5619789143205921
1138,5620019622810234,6369328107118334
1137,5620019618546073,6378056225070573
